,movieId,imdbId,tmdbId,wikidataURI
149,177,0113690,8973,Q1869916
150,178,0107447,15730,Q1759628
151,179,0113729,47608,Q1883105
152,180,0113749,2293,Q39999
153,181,0113820,9070,Q1473596
154,183,0110604,48787,Q2704431
155,184,0110620,34574,Q2363623
156,185,0113957,1642,Q466884
157,186,0113986,11472,Q955389
158,187,0114095,36196,Q3367009
159,188,0114194,11980,Q1534001
160,189,0114241,58372,Q1962573
161,190,0114323,32646,Q2731453
162,191,0114345,10533,Q617942
163,193,0114436,10802,Q532264
164,194,0114478,10149,Q653447
165,195,0114496,18402,Q1544085
166,196,0114508,9348,Q337747
167,198,0114558,281,Q550529
168,199,0058450,5967,Q163868
169,201,0114663,47939,Q3998104
170,202,0114702,36834,Q543462
171,203,0114682,9090,Q1759260
172,204,0114781,3512,Q1355072
173,205,0114798,52856,Q2562722
174,206,0114805,77350,Q3951309
175,207,0114887,9560,Q944614
176,208,0114898,9804,Q272595
177,209,0114928,31611,Q289469
178,210,0114938,65796,Q1471493
179,211,0109340,49805,Q1569614
180,212,0112602,26258,Q1629871
181,213,0111579,50797,Q1127167
182,214,0110882,19155,Q911013
183,215,0112471,76,Q659609
184,216,0112508,11017,Q372299
185,217,0112438,37141,Q385951
186,218,0112571,9382,Q620099
187,219,0112757,6715,Q2336805
188,220,0112643,18256,Q1049417
189,222,0112679,22625,Q721415
190,223,0109445,2292,Q747877
191,224,0112883,1909,Q492132
192,225,0109635,8984,Q1330619
193,227,0109676,4954,Q1260289
194,228,0112854,62488,Q2546056
195,229,0109579,10531,Q466265
196,230,0109642,11929,Q1236347
197,231,0109686,8467,Q462418
198,232,0111797,10451,Q696905
199,233,0109759,20156,Q1384202
200,234,0109758,18395,Q642925
201,235,0109707,522,Q639481
202,236,0113117,397,Q1455280
203,237,0113097,10525,Q1760597
204,238,0113028,27985,Q1962691
205,239,0113198,15789,Q869993
206,240,0113303,27303,Q2364503
207,241,0113089,21183,Q1266693
208,242,0109771,10954,Q1341293
209,243,0113199,47867,Q288138
210,246,0110057,14275,Q511914
211,247,0110005,1024,Q322206
212,248,0110066,17207,Q1194165
213,249,0110116,13701,Q1754839
214,250,0110006,14819,Q239413
215,251,0113360,32631,Q2736281
216,252,0110099,11777,Q499904
217,253,0110148,628,Q318910
218,254,0113463,87729,Q1643330
219,255,0110189,18713,Q7743116
220,256,0110216,6280,Q129265
221,257,0113501,9061,Q1659511
222,258,0113538,37108,Q947262
223,259,0113552,6071,Q2000941
224,260,0076759,11,Q17738
225,261,0110367,9587,Q850522
226,262,0113670,19101,Q1216898
227,263,0110296,49980,Q2549142
228,265,0103994,18183,Q5196238
229,266,0110322,4476,Q913324
230,267,0110443,11008,Q185376
231,269,0107566,32325,Q1962809
232,270,0110391,43742,Q2070564
233,271,0113691,28313,Q1217852
234,272,0110428,11318,Q581501
235,273,0109836,3036,Q833180
236,274,0113755,40490,Q158559
237,275,0110538,24070,Q1824522
238,276,0110516,8986,Q2301732
239,277,0110527,10510,Q258204
240,278,0113808,17402,Q908983
241,279,0113896,38722,Q1783892
242,280,0113870,8438,Q1154802
243,281,0110684,11593,Q1551887
244,282,0110638,1945,Q612323
245,283,0113967,39310,Q81597
246,284,0117169,109560,
247,285,0106402,56428,Q4080605
248,287,0110671,131957,Q6043145
249,288,0110632,241,Q748986
250,289,0110737,9058,Q1540554
251,290,0110729,527,Q919579
252,291,0114151,18220,Q2341665
253,292,0114069,6950,Q495513
254,293,0110413,101,Q484675
255,294,0114113,63020,Q610097
256,295,0114210,2307,Q4659081
257,296,0110912,680,Q104123
258,298,0105652,25296,Q702270
259,299,0110889,40156,Q781835
260,300,0110932,11450,Q651722
261,301,0114129,30304,Q837939
262,302,0110963,10452,Q508766
263,303,0114214,12106,Q756416
264,304,0114296,161495,Q379190
265,305,0110907,3586,Q911775
266,306,0111495,110,Q952142
267,307,0108394,108,Q932814
268,308,0111507,109,Q933437
269,310,0114268,36357,Q2977849
270,311,0110965,92769,Q7310771
271,312,0114571,28033,Q7627071
272,313,0111333,22586,Q1216146
273,314,0111112,14334,Q2255971
274,315,0111255,2636,Q471423
275,316,0111282,2164,Q105801
276,317,0111070,11395,Q497850
277,318,0111161,278,Q172241
278,319,0111149,9905,Q506032
279,320,0108260,87078,Q7650375
280,321,0106966,12527,Q925448
281,322,0114594,20306,Q1629547
282,324,0111309,36614,Q1518910
283,325,0113936,27993,Q604821
284,326,0110081,31439,Q151784
285,327,0114614,9067,Q2300632
286,328,0114608,9059,Q1591769
287,329,0111280,193,Q723679
288,330,0114609,25066,Q3980396
289,331,0111454,46797,Q559429
290,332,0114852,12122,Q1167579
291,333,0114694,11381,Q644041
292,334,0111590,32636,Q736349
293,335,0114788,36141,Q2625478
294,336,0114888,95963,Q3523261
295,337,0108550,1587,Q660894
296,338,0114857,9271,Q187414
297,339,0114924,2064,Q492093
298,340,0111667,19855,Q1167231
299,341,0109655,60855,Q5299794
300,342,0110598,236,Q1348275
301,343,0112435,48287,Q3793484
302,344,0109040,3049,Q340138
303,345,0109045,2759,Q255328
304,346,0106339,12635,Q593772
305,347,0104779,10497,Q878964
306,348,0109348,11382,Q1004531
307,349,0109444,9331,Q1392442
308,350,0109446,10731,Q255376
309,351,0109484,10464,Q1135365
310,352,0109504,34152,Q2534007
311,353,0109506,9495,Q250912
312,354,0109450,29973,Q2364759
313,355,0109813,888,Q602094
314,356,0109830,13,Q134773
315,357,0109831,712,Q901213
316,358,0113305,16295,Q1617908
317,359,0110091,48992,Q1273799
318,360,0110093,10879,Q1481578
319,361,0110167,10660,Q222868
320,362,0110213,10714,Q1097616
321,363,0107472,41647,Q3822468
322,364,0110357,8587,Q36479
323,365,0107426,1689,Q1141873
324,366,0111686,11596,Q636166
325,367,0110475,854,Q219421
326,368,0110478,9359,Q675520
327,369,0110588,23333,Q175278
328,370,0110622,36593,Q385309
329,371,0110771,12280,Q1747211
330,372,0110950,2788,Q1423849
331,373,0105226,10427,Q1518218
332,374,0110989,11011,Q506394
333,376,0110997,8987,Q451630
334,377,0111257,1637,Q108006
335,378,0111256,15128,Q1322346
336,379,0111438,8831,Q240849
337,380,0111503,36955,Q110397
338,381,0111693,10449,Q1928695
339,382,0111742,10395,Q930540
340,383,0111756,12160,Q1355172
341,384,0112443,40480,Q798662
342,385,0110455,52038,Q3283966
343,386,0111048,29444,Q227540
344,387,0110399,26352,Q1962426
345,388,0112570,39953,Q4952668
346,389,0109454,41580,Q1211134
347,390,0059170,315,Q1215958
348,391,0110186,22067,Q1684012
349,393,0111301,11667,Q1138659
350,405,0110027,8011,Q994209
351,406,0109785,171857,Q5440244
352,407,0113409,2654,Q1214972
353,408,0109021,18069,Q580917
354,409,0109035,19092,Q2128630
355,410,0106220,2758,Q204725
356,412,0106226,10436,Q1125442
357,413,0109068,13595,Q408725
358,414,0109067,46094,Q2430523
359,415,0106292,9409,Q1210907
360,416,0109198,11853,Q798696
361,417,0109219,16771,Q4078526
362,418,0106379,46924,Q965085
363,419,0106400,11041,Q1211343
364,420,0109254,306,Q654736
365,421,0109279,14522,Q537256
366,422,0109297,26203,Q604155
367,423,0109303,178,Q614858
368,424,0109305,19819,Q885659
369,425,0109306,57834,Q1849813
370,426,0106452,4722,Q257514
371,427,0106471,18215,Q895690
372,428,0106489,1607,Q1130705
373,429,0109361,26391,Q2724012
374,430,0106505,117553,Q3402011
375,431,0106519,6075,Q939176
376,432,0109439,11310,Q1218462
377,433,0109443,18658,Q880897
378,434,0106582,9350,Q824389
379,435,0106598,9612,Q1211928
380,436,0109456,2124,Q1111228
381,437,0109480,26261,Q1131562
382,438,0109493,19176,Q947140
383,440,0106673,11566,Q539658
384,441,0106677,9571,Q39975
385,442,0106697,9739,Q470891
386,444,0106834,34444,Q1422017
387,445,0106873,26141,Q1139237
388,446,0106332,10997,Q696413
389,448,0106881,10443,Q255742
390,449,0106880,20239,Q5439384
391,450,0111732,16297,Q1083372
392,451,0106926,18551,Q1413403
393,452,0111712,25440,Q3365051
394,453,0106941,9024,Q947617
395,454,0106918,37233,Q821692
396,455,0106965,1634,Q473628
397,456,0109842,13815,Q503199
398,457,0106977,5503,Q156309
399,458,0107004,35588,Q1514670
400,459,0109890,2087,Q1519938
401,460,0109891,41579,Q290730
402,461,0109913,18620,Q2256780
403,464,0107076,2019,Q574993
404,466,0107144,9255,Q843198
405,467,0113674,26271,Q3256959
406,468,0112966,10612,Q784934
407,469,0107151,2259,Q312394
408,470,0110064,16097,Q12124897
409,471,0110074,11934,Q313998
410,472,0110097,106143,Q853425
411,473,0110123,12475,Q3053490
412,474,0107206,9386,Q427386
413,475,0107207,7984,Q304074
414,476,0110137,59930,Q7742061
415,477,0108551,15765,Q1471849
416,478,0110197,31643,Q1688957
417,479,0107286,6,Q1710973
418,480,0107290,329,Q167726
419,481,0107302,10909,Q179798
420,482,0110265,507,Q1500287
421,484,0110305,29918,Q638550
422,485,0107362,9593,Q858840
423,486,0107413,42580,Q839265
424,487,0110353,22317,Q1511623
425,488,0107468,1413,Q1513195
426,489,0107478,12121,Q950139
427,490,0107497,2246,Q1740859
428,491,0107501,10502,Q944158
429,492,0107507,10440,Q1133277
430,493,0107554,9516,Q1542944
431,494,0116253,2320,Q1142051
432,495,0074102,5879,Q510181
433,496,0111689,83718,Q7991117
434,497,0107616,11971,Q550205
435,499,0107613,31911,Q538909
436,500,0107614,788,Q483852
437,501,0107653,21450,Q1963079
438,502,0110657,11231,Q289127
439,504,0110678,10447,Q1421228
440,505,0110687,31586,Q1072666
441,506,0107756,9300,Q188384
442,507,0107808,9559,Q174683
443,508,0107818,9800,Q204057
444,509,0107822,713,Q117315
445,510,0107840,8291,Q1537562
446,511,0107889,18133,Q826289
447,512,0111003,25557,Q60362
448,513,0110939,22588,Q1741078
449,514,0110955,10872,Q1360651
450,515,0107943,1245,Q1625242
451,516,0110971,11858,Q129288
452,517,0107969,7007,Q1217573
453,518,0111001,10467,Q1999631
454,519,0107978,5550,Q841233
455,520,0107977,8005,Q1334948
456,521,0107983,2088,Q624857
457,522,0105275,10412,Q909098
458,523,0108000,47889,Q753610
459,524,0108002,14534,Q3107519
460,526,0105032,41878,Q174785
461,527,0108052,424,Q483941
462,528,0111094,35233,Q785267
463,529,0108065,14291,Q663528
464,531,0108071,11236,Q525421
465,532,0111127,11592,Q610670
466,533,0111143,8850,Q1546938
467,534,0108101,10445,Q1403132
468,535,0108122,695,Q605226
469,536,0111194,43535,Q471401
470,537,0111201,12519,Q1542458
471,538,0108149,23210,Q1169609
472,539,0108160,858,Q107167
473,540,0108162,867,Q581642
474,541,0083658,78,Q184843
475,542,0108186,13203,Q1137790
476,543,0108174,10442,Q1753552
477,544,0108238,11074,Q617249
478,546,0108255,9607,Q535550
479,547,0111323,17585,Q1461570
480,548,0111400,9057,Q25760
481,549,0108328,20967,Q7785228
482,550,0111418,10635,Q1308638
483,551,0107688,9479,Q322328
484,552,0108333,10057,Q508931
485,553,0108358,11969,Q1420651
486,555,0108399,319,Q1127709
487,556,0108515,26408,Q743292
488,558,0110763,15139,Q1196110
489,562,0114906,11446,Q2565420
490,563,0107002,51980,Q1479633
491,564,0109403,24405,Q1068029
492,567,0107315,8223,Q1472478
493,568,0106408,14587,Q2716876
494,569,0110363,31504,Q934614
495,573,0107225,23637,Q3801259
496,574,0111252,17600,Q1757776
497,575,0110366,10897,Q644634
498,577,0109120,21352,Q501407
499,579,0108059,68806,Q3824084
500,580,0110892,37345,Q644372
501,581,0112651,32562,Q535096
502,583,0109382,25403,Q949784
503,585,0112572,9066,Q1211705
504,586,0099785,771,Q105031
505,587,0099653,251,Q49003
506,588,0103639,812,Q215518
507,589,0103064,280,Q170564
508,590,0099348,581,Q20456
509,592,0096895,268,Q116852
510,593,0102926,274,Q133654
511,594,0029583,408,Q134430
512,595,0101414,10020,Q179673
513,596,0032910,10895,Q4341553
514,597,0100405,114,Q207954
515,599,0065214,576,Q994481
516,600,0110395,15477,Q1872448
517,602,0109934,124472,Q4657171
518,605,0117247,7300,Q743487
519,606,0112625,10824,Q1033094
520,608,0116282,275,Q222720
521,609,0116552,25059,Q889691
522,610,0082509,11827,Q1471965
523,611,0116514,8766,Q1031262
524,612,0117283,23570,Q602289
525,613,0116684,47333,Q1682593
526,615,0070506,51242,Q671116
527,616,0065421,10112,Q184701
528,617,0113083,4307,Q931753
529,618,0118001,46029,Q1971683
530,619,0116165,32308,Q1134452
531,626,0117891,28121,Q929293
532,627,0113613,12520,Q127045
533,628,0117381,1592,Q822057
534,631,0115509,19042,Q2413112
535,632,0114671,38884,Q643805
536,633,0112844,47449,Q3784688
537,634,0114658,36259,Q508937
538,635,0116275,41852,Q300401
539,636,0113122,40926,Q5504709
540,637,0117608,9099,Q1642448
541,638,0113448,2021,Q3805533
542,639,0116414,61752,Q2517431
543,640,0116095,10988,Q617117
544,645,0113947,12652,Q1930843
545,647,0115956,10684,Q1339523
546,648,0117060,954,Q1741232
547,649,0109028,68445,Q1107800
548,650,0117071,18989,Q1943569
549,653,0116136,8840,Q330612
550,656,0116168,11107,Q502876
551,661,0116683,10539,Q1131380
552,662,0116287,10543,Q1070275
553,663,0116768,18414,Q4955742
554,665,0114787,11902,Q156516
555,667,0112536,25087,Q656044
556,668,0048473,5801,Q622380
557,670,0052572,896,Q622376
558,671,0117128,3065,Q2093090
559,673,0117705,2300,Q207659
560,674,0062711,8069,Q41132
561,678,0108181,27768,Q7559391
562,679,0114307,221917,Q7761835
563,680,0058898,8072,Q542688
564,685,0113443,33245,Q2985421
565,688,0114048,27281,Q436988
566,691,0117104,40001,Q371885
567,692,0117688,29621,Q2409724
568,694,0117774,20762,Q1778407
569,695,0114736,37144,Q4204343
570,697,0116289,12656,Q1937392
571,698,0109593,38867,Q4157281
572,700,0112368,25969,Q329145
573,703,0115742,43634,Q737723
574,704,0117420,9103,Q1469524
575,706,0117784,29649,Q3818309
576,707,0117107,10990,Q1093391
577,708,0117979,8866,Q1880307
578,709,0095776,12233,Q216929
579,710,0115851,23449,Q1171263
580,711,0116322,36355,Q1428947
581,714,0112817,922,Q547189
582,715,0113362,11876,Q1194500
583,718,0108500,11687,Q838013
584,719,0117108,9304,Q774732
585,720,0118114,503475,
586,722,0113270,73183,Q16679597
587,724,0115963,9100,Q937005
588,725,0116448,20759,Q1514095
589,726,0116827,46063,Q1806702
590,728,0112701,32513,Q3208799
591,731,0116508,36915,Q249032
592,733,0117500,9802,Q216720
593,735,0109592,21588,Q929886
594,736,0117998,664,Q683663
595,737,0115624,11867,Q807302
596,741,0113568,9323,Q1066948
597,742,0117894,10280,Q1637939
598,743,0117723,10535,Q392662
599,745,0112691,532,Q400097
600,747,0117768,16299,Q3490545
601,748,0115571,10547,Q540318
602,750,0057012,935,Q105702
603,757,0109688,40751,Q725167
604,759,0110480,85778,Q2238172
605,760,0108211,11101,Q316225
606,761,0117331,9826,Q1170071
607,762,0117765,9879,Q1141460
608,764,0113280,22621,Q2442226
609,765,0116669,7095,Q1471358
610,766,0116594,26890,Q1582860
611,773,0070820,77771,Q3310901
612,775,0063715,41225,Q18415
613,778,0117951,627,Q109135
614,779,0118523,32872,Q232106
615,780,0116629,602,Q105387
616,781,0117737,14553,Q749191
617,782,0116277,9566,Q390299
618,783,0116583,10545,Q213787
619,784,0115798,9894,Q824133
620,785,0116778,11543,Q625424
621,786,0116213,9268,Q370326
622,788,0117218,9327,Q936576
623,790,0111546,81949,Q979083
624,791,0113610,,
625,795,0111237,44535,Q3489796
626,798,0116040,11228,Q225916
627,799,0116365,10779,Q1332274
628,800,0116905,26748,Q930332
629,801,0116493,38223,Q934004
630,802,0117333,9294,Q464716
631,803,0118113,49963,Q324239
632,804,0117628,11363,Q1480910
633,805,0117913,1645,Q498867
634,806,0115530,31546,Q463633
635,808,0115493,36344,Q1479235
636,809,0116320,18550,Q1109508
637,810,0116756,11511,Q3137753
638,813,0116823,34170,Q1218039
639,818,0118073,12606,Q1211697
640,823,0061495,4837,Q1215948
641,824,0110246,12632,Q1735052
642,828,0115472,18975,Q336835
643,829,0116707,11962,Q956636
644,830,0116313,2925,Q913620
645,832,0117438,3595,Q752362
646,833,0116531,9308,Q1302821
647,835,0116353,18555,Q1440232
648,836,0115857,12123,Q499692
649,837,0117008,10830,Q280400
650,838,0116191,3573,Q1338008
651,839,0115986,10546,Q302181
652,840,0116571,18862,Q1460493
653,841,0053459,31417,Q760244
654,842,0117826,9431,Q893399
655,848,0117718,47907,Q1212954
656,849,0116225,10061,Q741026
657,851,0115632,549,Q810441
658,852,0117918,10478,Q1092399
659,858,0068646,238,Q47703
660,861,0104558,11134,Q1144956
661,866,0115736,9303,Q864930
662,867,0115836,23945,Q1924207
663,869,0116745,22479,Q977996
664,870,0119214,9054,Q1192024
665,875,0110693,410921,
666,876,0106544,38955,Q2708227
667,879,0120004,11015,Q1170168
668,880,0116654,9306,Q1091580
669,881,0116311,12559,Q1627076
670,882,0117965,58770,Q1198844
671,885,0115725,3587,Q290490
672,886,0115783,10723,Q1004433
673,888,0113596,19004,Q2548919
674,889,0109001,101230,Q161206
675,891,0113253,10987,Q1138055
676,892,0117991,44705,Q1525083
677,893,0117093,20318,Q845652
678,896,0111019,26933,Q1656834
679,897,0035896,27854,Q515572
680,898,0032904,981,Q498822
681,899,0045152,872,Q309153
682,900,0043278,2769,Q747570
683,901,0050419,13320,Q147068
684,902,0054698,164,Q193066
685,903,0052357,426,Q202548
686,904,0047396,567,Q34414
687,905,0025316,3078,Q208632
688,906,0036855,13528,Q841781
689,907,0025164,28288,Q947098
690,908,0053125,213,Q223139
691,909,0053604,284,Q270510
692,910,0053291,239,Q190086
693,911,0056923,4808,Q496266
694,912,0034583,289,Q132689
695,913,0033870,963,Q221462
696,914,0058385,11113,Q201215
697,915,0047437,6620,Q152493
698,916,0046250,804,Q201293
699,917,0031580,26531,Q151923
700,918,0037059,909,Q1066873
701,919,0032138,630,Q193695
702,920,0031381,770,Q2875
703,921,0084370,31044,Q1304397
704,922,0043014,599,Q193570
705,923,0033467,15,Q24815
706,924,0062622,62,Q103474
707,926,0042192,705,Q200299
708,927,0032143,22490,Q348678
709,928,0032976,223,Q204212
710,929,0032484,25670,Q848388
711,930,0038787,303,Q587419
712,931,0038109,4174,Q497311
713,932,0050105,8356,Q303719
714,933,0048728,381,Q331017
715,934,0042451,20758,Q1144850
716,935,0045537,29376,Q1508130
717,936,0031725,1859,Q589894
718,937,0050658,18299,Q630855
719,938,0051658,17281,Q577757
720,940,0029843,10907,Q201234
721,941,0032762,32093,Q1541847
722,942,0037008,1939,Q976149
723,943,0039420,22292,Q1304578
724,944,0029162,3598,Q1619885
725,945,0027125,3080,Q1139031
726,946,0035446,198,Q704972
727,947,0028010,13562,Q1811134
728,948,0049261,1712,Q669592
729,949,0048028,220,Q1129778
730,950,0025878,3529,Q1198497
731,951,0032599,3085,Q1066714
732,952,0048960,2897,Q696057
733,953,0038650,1585,Q204191
734,954,0031679,3083,Q866120
735,955,0029947,900,Q179743
736,956,0034012,43795,Q419838
737,959,0025586,43905,Q1164789
738,961,0027893,23114,Q1199248
739,963,0041509,40206,Q1089010
740,965,0026029,260,Q501105
741,968,0063350,10331,Q623051
742,969,0043265,488,Q384397
743,970,0046414,22733,Q1470370
744,971,0051459,261,Q713979
745,973,0033891,32574,Q1520732
746,976,0022879,22649,Q1575490
747,979,0114007,125587,Q16999374
748,981,0118927,52855,Q749110
749,982,0048491,39940,Q1300420
750,984,0117357,85328,Q7757712
751,986,0116329,11076,Q49018
752,987,0118742,63945,Q23016667
753,988,0116442,58985,Q584662
754,990,0117011,10861,Q598177
755,991,0117039,1770,Q430535
756,993,0116635,2033,Q1993812
757,994,0115678,18203,Q859143
758,996,0116830,9333,Q1425639
759,998,0117603,9400,Q962544
760,999,0115438,9401,Q222873
761,1003,0116259,11306,Q1385542
762,1004,0116421,9625,Q539545
763,1005,0116000,10680,Q610421
764,1006,0115862,6346,Q1213747
765,1007,0072653,18660,Q2081291
766,1008,0047977,35115,Q1093219
767,1009,0072951,14821,Q1212511
768,1010,0064603,14136,Q1305705
769,1011,0071607,10869,Q1609444
770,1012,0050798,22660,Q1851869
771,1013,0055277,19186,Q1217234
772,1014,0054195,31102,Q2477507
773,1015,0107131,6878,Q230558
774,1016,0053271,15944,Q1608728
775,1017,0054357,18444,Q1367163
776,1018,0059793,20723,Q1102396
777,1019,0046672,173,Q64110
778,1020,0106611,864,Q282748
779,1021,0109127,24795,Q659037
780,1022,0042332,11224,Q191753
781,1023,0063819,81310,Q1378605
782,1024,0038166,15947,Q736731
783,1025,0057546,9078,Q204662
784,1027,0102798,8367,Q486822
785,1028,0058331,433,Q209170
786,1029,0033563,11360,Q40895
787,1030,0076538,11114,Q1332299
788,1031,0066817,12335,Q945138
789,1032,0043274,12092,Q189875
790,1033,0082406,10948,Q40302
791,1034,0116361,11229,Q568858
792,1035,0059742,15121,Q60072
793,1036,0095016,562,Q105598
794,1037,0104692,10163,Q1196384
795,1040,0117582,47199,Q2975672
796,1041,0117589,11159,Q391172
797,1042,0117887,9591,Q642410
798,1043,0117924,30500,Q2269039
799,1046,0115640,10938,Q813461
800,1047,0116908,11412,Q1168399
801,1049,0116409,10586,Q728488
802,1050,0116913,42314,Q1493156
803,1051,0117958,27845,Q2602493
804,1053,0117202,23223,Q820623
805,1054,0116404,49471,Q2154858
806,1055,0120107,38153,Q1217242
807,1056,0116722,25147,Q523767
808,1057,0116242,9716,Q1334572
809,1059,0117509,454,Q463313
810,1060,0117802,10218,Q2062140
811,1061,0117665,819,Q1145732
812,1064,0115491,11238,Q817003
813,1066,0029546,31530,Q1576105
814,1068,0039286,28120,Q632718
815,1073,0067992,252,Q936327
816,1076,0055018,16372,Q666082
817,1077,0070707,11561,Q750003
818,1078,0066808,11302,Q806092
819,1079,0095159,623,Q466186
820,1080,0079470,583,Q24953
821,1081,0084865,12614,Q936037
822,1082,0068334,21711,Q500672
823,1083,0059243,11575,Q304366
824,1084,0061418,475,Q181776
825,1085,0052027,11331,Q1198269
826,1086,0046912,521,Q496255
827,1088,0092890,88,Q253978
828,1089,0105236,500,Q72962
829,1090,0091763,792,Q190643
830,1091,0098627,8491,Q1545129
831,1092,0103772,402,Q146673
832,1093,0101761,10537,Q937087
833,1094,0104036,11386,Q182727
834,1095,0104348,9504,Q844068
835,1096,0084707,15764,Q165627
836,1097,0083866,601,Q11621
837,1099,0029992,25842,Q181248
838,1100,0099371,2119,Q603696
839,1101,0092099,744,Q110138
840,1103,0048545,221,Q426346
841,1104,0044081,702,Q212129
842,1105,0115885,25750,Q338012
843,1107,0102336,,
844,1111,0117040,9305,Q675044
845,1112,0117284,37616,Q1553755
846,1114,0116378,21612,Q597046
847,1116,0113057,102461,Q3208935
848,1117,0116581,36998,Q451573
849,1119,0112907,116844,Q3040133
850,1120,0117318,1630,Q750077
851,1121,0116422,26626,Q3549878
