,wikidataURI,name
138,Q193648,Tony Scott
139,Q918283,Terry Zwigoff
140,Q643246,Carl Franklin
141,Q270639,John McTiernan
142,Q708899,Gregg Araki
143,Q363666,Jerry Zucker
144,Q1268483,Dwight H. Little
145,Q387412,Iain Softley
146,Q5111868,Christopher Ashley
147,Q1250139,Robert Longo
148,Q1164532,Danny Cannon
149,Q3181522,John Fortenberry
150,Q714496,Larry Clark
151,Q784641,Tom DiCillo
152,Q298761,Clive Barker
153,Q363231,Denys Arcand
154,Q1646013,Antonia Bird
155,Q489831,Kevin Smith
156,Q2927184,Bryan Spicer
157,Q2852995,Anthony Waller
158,Q541368,Michael Almereyda
159,Q950428,Irwin Winkler
160,Q75079,Chris Columbus
161,Q1157704,Daisy von Scherler Mayer
162,Q487408,Gregory Widen
163,Q3343815,Norman René
164,Q446580,Todd Haynes
165,Q309715,Roland Joffé
166,Q129079,Paul Verhoeven
167,Q316051,Lasse Hallström
168,Q707755,Roger Donaldson
169,Q34816,Kathryn Bigelow
170,Q312258,Jacques Demy
171,Q270092,Martha Coolidge
172,Q231019,Agnieszka Holland
173,Q335605,Beeban Kidron
174,Q1350663,Geoff Murphy
175,Q102642,Diane Keaton
176,Q114065725,Douglas Keeve
177,Q920072,Alfonso Arau
178,Q464903,Kevin Reynolds
179,Q5264772,Desmond Nakano
180,Q350422,Walter Hill
181,Q2351528,Greg Beeman
182,Q55207,Nikita Mikhalkov
183,Q558481,Milcho Manchevski
184,Q40035,Richard Linklater
185,Q2624537,Tamra Davis
186,Q3121773,Guy Ferland
187,Q711415,Herbert Ross
188,Q130034,Peter Horton
189,Q1346651,Stuart Gordon
190,Q1106742,Pat O'Connor
191,Q503907,Jeremy Leven
192,Q269692,Barry Levinson
193,Q20880629,Jack Baran
194,Q51552,Roman Polanski
195,Q545573,Taylor Hackford
196,Q888535,Bobby Farrelly
197,Q1368300,Peter Farrelly
198,Q212167,Atom Egoyan
199,Q315087,Garry Marshall
200,Q56008,Tim Burton
201,Q240872,Lawrence Kasdan
202,Q186485,Billy Crystal
203,Q1405474,Phillip Borsos
204,Q2336709,Kevin Lima
205,Q736300,Brett Leonard
206,Q1041975,Carlo Carlei
207,Q1558963,Gérard Corbiau
208,Q6768591,Mark Lewis
209,Q2347045,Steve James
210,Q4465,Peter Jackson
211,Q612365,Randall Miller
212,Q323074,Bernard Rose
213,Q345259,Steven Brill
214,Q1465970,J. F. Lawton
215,Q703727,Fred Schepisi
216,Q55428,Neil Jordan
217,Q51577,James Ivory
218,Q16732453,James Melkonian
219,Q380272,Ivan Reitman
220,Q4794564,Arne Glimcher
221,Q6830697,Michael Gottlieb
222,Q38222,George Lucas
223,Q438911,Gillian Armstrong
224,Q28028,Alfonso Cuarón
225,Q55238,Ken Loach
226,Q314142,Edward Zwick
227,Q3108798,Glenn Gordon Caron
228,Q469233,Stephen Gyllenhaal
229,Q967302,Nicholas Hytner
230,Q1680918,James Orr
231,Q214677,Nora Ephron
232,Q495813,Richard Benjamin
233,Q518696,Les Mayfield
234,Q934964,David Frankel
235,Q2617255,Gregory Nava
236,Q1761603,Marc Rocco
237,Q59085,Robert Benton
238,Q350717,Michael Apted
239,Q3339752,Nick Gomez
240,Q1339179,Vadim Jean
241,Q4706963,Alan Jacobs
242,Q309214,Norman Jewison
243,Q449104,Lee Tamahori
244,Q565344,Anne Goursaud
245,Q65321,Wolfgang Petersen
246,Q484779,Luc Besson
247,Q466320,Mira Nair
248,Q6289686,Joshua Brand
249,Q59215,Robert Redford
250,Q6380650,Kayo Hatta
251,Q366057,Patrice Chéreau
252,Q275402,Sam Raimi
253,Q314301,Peter Yates
254,Q55163,Robert Altman
255,Q55165,Krzysztof Kieślowski
256,Q5495238,Fred Gerber
257,Q2388554,George Mihalka
258,Q286890,Harold Ramis
259,Q1153718,Richard Rich
260,Q2141212,John Sayles
261,Q719821,Luis Llosa
262,Q60100,Roland Emmerich
263,Q328483,John Pasquin
264,Q295445,Frank Darabont
265,Q134867,Danny Boyle
266,Q3476266,Scott McGehee
267,Q5239781,David Siegel
268,Q722461,Tomás Gutiérrez Alea
269,Q3045892,Juan Carlos Tabío
270,Q5540807,George Huang
271,Q6396177,Kevin Dowling
272,Q734916,Alan Smithee
273,Q6386174,Kelly Makin
274,Q508224,Rachel Talalay
275,Q1356510,Ernest Dickerson
276,Q3294231,Gilbert Adler
277,Q3496511,David Carson
278,Q3942954,Rusty Cundieff
279,Q2924898,Brian Gilbert
280,Q95008,John Carpenter
281,Q339551,Peter Segal
282,Q55392,Louis Malle
283,Q103917,Steven Soderbergh
284,Q7241830,Preston A. Whitmore II
285,Q470251,Jon Turteltaub
286,Q14949520,Mina Shum
287,Q2011694,P. J. Hogan
288,Q267243,Melanie Mayron
289,Q722135,Tom Shadyac
290,Q2094420,Stephan Elliott
291,Q543563,Phillip Noyce
292,Q3177700,Jessie Nelson
293,Q259687,Alex Proyas
294,Q2141036,Ron Shelton
295,Q912547,Brian Levant
296,Q187364,Robert Zemeckis
297,Q363005,John Singleton
298,Q454290,Darnell Martin
299,Q503720,Andrew Bergman
300,Q363402,Stephen Sommers
301,Q14554280,Ray Müller
302,Q847468,Roger Allers
303,Q1151111,Rob Minkoff
304,Q53009,Bernardo Bertolucci
305,Q725006,Chuck Russell
306,Q1337411,Alan Rudolph
307,Q47100,Ben Stiller
308,Q521262,Donald Petrie
309,Q263486,Curtis Hanson
310,Q376107,Jan de Bont
311,Q1303837,Ron Underwood
312,Q42574,James Cameron
313,Q939894,Luis Mandoki
314,Q1158442,Damian Harris
315,Q16194144,Suri Krishnamma
316,Q16731441,Jefery Levy
317,Q323201,Keenen Ivory Wayans
318,Q113155427,Robert Lee King
319,Q117859192,Brian Sloan
320,Q117860314,Raoul O'Connell
321,Q969902,Yves Angelo
322,Q315325,Russ Meyer
323,Q5300726,Doug McHenry
324,Q724018,Steven E. de Souza
325,Q21592537,Andy Morahan
326,Q5612234,Michael Corrente
327,Q260125,John G. Avildsen
328,Q6174711,Jeff Pollack
329,Q717498,Michael Lehmann
330,Q527306,Paul Michael Glaser
331,Q1703212,Jonathan Kaplan
332,Q972884,Whit Stillman
333,Q738037,Bill Forsyth
334,Q51564,John Landis
335,Q273712,Caroline Thompson
336,Q709076,Stephen Hopkins
337,Q52411,Tony Richardson
338,Q271162,Jennifer Lynch
339,Q36949,Robert De Niro
340,Q2823997,Adam Resnick
341,Q923930,John Whitesell
342,Q189526,Brian De Palma
343,Q3372411,Paul Weiland
344,Q703492,Mick Jackson
345,Q489199,Steve Barron
346,Q953520,Richard Rush
347,Q1561788,Michael Ritchie
348,Q56249739,Gregg Champion
349,Q3290067,Marco Brambilla
350,Q287793,Carl Reiner
351,Q202597,Chen Kaige
352,Q55424,Peter Weir
353,Q2832478,Alek Keshishian
354,Q362061,Steve Kloves
355,Q1700561,John Irvin
356,Q1368884,Simon Wincer
357,Q887636,Boaz Yakin
358,Q270620,Rose Troche
359,Q448604,Jim Abrahams
360,Q107541526,Julianna Lavin
361,Q5112896,Christopher Monger
362,Q315062,Bille August
363,Q113687952,Eric Meza
364,Q13595311,Joel Coen
365,Q13595531,Ethan Coen
366,Q95125,James L. Brooks
367,Q540455,Daniel Petrie
368,Q55429,Jim Sheridan
369,Q3852343,Matty Rich
370,Q8877,Steven Spielberg
371,Q728362,Dominic Sena
372,Q450720,Roger Avary
373,Q705572,Daniel Petrie
374,Q6137781,James Lapine
375,Q55422,David Cronenberg
376,Q1715774,Stuart Baird
377,Q55403,Nagisa Ōshima
378,Q1339951,Tom Noonan
379,Q188726,Anthony Minghella
380,Q315756,Mike Leigh
381,Q268840,Sally Potter
382,Q48987,Jonathan Demme
383,Q230448,Jane Campion
384,Q3500824,Stuart Orme
385,Q939117,Mel Smith
386,Q237659,Penny Marshall
387,Q176126,Philip Kaufman
388,Q271284,Alan Parker
389,Q1452257,Fred Dekker
390,Q724100,Peter Medak
391,Q507519,Geoffrey Wright
392,Q3557482,Victor Nuñez
393,Q3017398,David Anspaugh
394,Q504708,Cyril Collard
395,Q291141,Steven Zaillian
396,Q314926,John Waters
397,Q436829,Russell Mulcahy
398,Q51506,Richard Attenborough
399,Q3106623,Gillies MacKinnon
400,Q358804,John Duigan
401,Q2632767,Steve Rash
402,Q3099573,Thomas Schlamme
403,Q3445566,Rowdy Herrington
404,Q648611,Dean Semler
405,Q3438025,Rocky Morton
406,Q4767678,Annabel Jankel
407,Q951523,Deran Sarafian
408,Q724590,François Girard
409,Q504706,Andrew Fleming
410,Q514859,Henry Selick
411,Q504722,George P. Cosmatos
412,Q2535855,Kevin Jarre
413,Q225852,D. A. Pennebaker
414,Q2964731,Chris Hegedus
415,Q504656,Todd Solondz
416,Q298905,Claude Berri
417,Q102711,Dennis Hopper
418,Q55171,Pedro Almodóvar
419,Q259348,Gurinder Chadha
420,Q507189,Andrew Scheinman
421,Q53039,Lina Wertmüller
422,Q328660,George T. Miller
423,Q367489,Ricky Tognazzi
424,Q22117261,Michael Austin
425,Q722032,Jeffrey Friedman
426,Q1381702,Rob Epstein
427,Q25100,Nanni Moretti
428,Q254732,Betty Thomas
429,Q735440,John Musker
430,Q930209,Ron Clements
431,Q11930,Kevin Costner
432,Q928976,David Hand
433,Q1385379,Wilfred Jackson
434,Q1758110,William Cottrell
435,Q2549739,Ben Sharpsteen
436,Q3218086,Larry Morey
437,Q3375098,Percival C. Pearce
438,Q1073959,Kirk Wise
439,Q1152051,Gary Trousdale
440,Q280187,Norm Ferguson
441,Q926614,Hamilton Luske
442,Q2903332,Bill Roberts
443,Q3157236,Jack Kinney
444,Q3525855,T. Hee
445,Q51461,Sam Peckinpah
446,Q36613578,Clement McCarty Talkington
447,Q15989551,Jean Bach
448,Q361336,Bill Condon
449,Q529803,David R. Ellis
450,Q452643,Jimmy Murakami
451,Q5549489,Gerald Potterton
452,Q11333,Kevin Yagher
453,Q1381885,Joe Chappelle
454,Q931613,Matt Reeves
455,Q53040,Franco Zeffirelli
456,Q955524,Franco Brusati
457,Q703588,Wolfgang Reitherman
458,Q381934,Fernando Trueba
459,Q2903175,Bill Couturié
460,Q183542,Martin Lawrence
461,Q3480356,Stacy Title
462,Q267524,Gregory Hoblit
463,Q113141364,Paul Sabella
464,Q5640920,Hal Salwen
465,Q36479258,Jonathan R. Betuel
466,Q3431106,Richard Pearce
467,Q2438517,Todd Verow
468,Q524711,Jonathan Lynn
469,Q7804358,Tim Sullivan
470,Q655416,Jeremiah S. Chechik
471,Q106669,Claude Sautet
472,Q463540,Friðrik Þór Friðriksson
473,Q7162089,Pen Densham
474,Q503966,Rob Cohen
475,Q721389,James Foley
476,Q94882,Emir Kusturica
477,Q36612616,Alan Mehrez
478,Q8873,Satyajit Ray
479,Q6196585,Jim Mallon
480,Q1691559,Joe Pytka
481,Q2926483,Bruce W. Smith
482,Q13600413,Tony Cervone
483,Q383420,Roger Vadim
484,Q1411603,George Hickenlooper
485,Q53001,Jean-Luc Godard
486,Q1340565,Randal Kleiser
487,Q1590541,Norberto Barba
488,Q3091066,Robert Mandel
489,Q113517862,Pat Verducci
490,Q20090198,Steven Baigelman
491,Q145173,Zalman King
492,Q7147518,Patrick Read Johnson
493,Q36485996,Stacy Cochran
494,Q308840,Jean-Claude Van Damme
495,Q7612674,Steve Gomer
496,Q5544380,George Scribner
497,Q113450135,Tom DeCerchio
498,Q3607772,Alan Shapiro
499,Q191755,Jim Jarmusch
500,Q709973,Jean-Paul Rappeneau
501,Q1042021,Jean-Marie Poiré
502,Q114028155,Brett Thompson
503,Q449220,Bruce Beresford
504,Q716373,Phil Joanou
505,Q2525440,Michele Soavi
506,Q21606998,David Hogan
507,Q285084,Mamoru Oshii
508,Q1340923,Tom Holland
509,Q22083824,Rick Friedberg
510,Q336206,Nick Park
511,Q492743,David Twohy
512,Q2001,Stanley Kubrick
513,Q950808,Freida Lee Mock
514,Q63069,Joseph Vilsmaier
515,Q433893,James Mangold
516,Q56094,Francis Ford Coppola
517,Q348868,Mary Harron
518,Q1232197,Djibril Diop Mambéty
519,Q7371,Federico Fellini
520,Q3952882,Scott Winant
521,Q967207,Lucian Pintilie
522,Q4974114,Bronwen Hughes
523,Q1987021,Nicole Holofcener
524,Q654900,Fraser Clarke Heston
525,Q2453153,Kevin Hooks
526,Q3141551,Howard Franklin
527,Q2861608,Arlene Sanford
528,Q50764,Éric Rohmer
529,Q2078292,Peter Sehr
530,Q15069824,John Payson
531,Q968324,Hugh Wilson
532,Q976729,Hart Bochner
533,Q24255227,Annette Haywood-Carter
534,Q26806,Danny DeVito
535,Q3038028,Douglas McGrath
536,Q2742664,Tim Pope
537,Q550658,Harry Winer
538,Q739606,Georges Franju
539,Q455958,Lee David Zlotoff
540,Q345379,Julian Schnabel
541,Q9544977,Lilly Wachowski
542,Q9545711,Lana Wachowski
543,Q455043,Arthur Hiller
544,Q262820,John Frankenheimer
545,Q323285,Richard Stanley
546,Q1175381,David M. Evans
547,Q270178,David Koepp
548,Q7372515,Roy Allen Smith
549,Q205456,Theo van Gogh
550,Q1334509,Trevor Nunn
551,Q1738056,Keith Gordon
552,Q523144,André Téchiné
553,Q457269,Sam Wood
554,Q56014,George Cukor
555,Q48765,Stanley Donen
556,Q73089,Gene Kelly
557,Q51535,Vincente Minnelli
558,Q56093,Blake Edwards
559,Q7374,Alfred Hitchcock
560,Q51492,Frank Capra
561,Q382529,Mark Sandrich
562,Q51547,Billy Wilder
563,Q51491,Michael Curtiz
564,Q51575,John Huston
565,Q51495,William Wyler
566,Q269796,Walter Lang
567,Q1361631,William A. Seiter
568,Q51133,King Vidor
569,Q62503,Victor Fleming
570,Q24829,Orson Welles
571,Q51583,Joseph L. Mankiewicz
572,Q332530,Leo McCarey
573,Q51562,Ernst Lubitsch
574,Q953753,Charles Walters
575,Q2092903,William Keighley
576,Q51472,Rouben Mamoulian
577,Q52997,Otto Preminger
578,Q506183,Andrew Marton
579,Q269585,Gregory La Cava
580,Q51490,George Stevens
581,Q72717,Elia Kazan
582,Q547078,W. S. Van Dyke
583,Q1804597,Lesley Selander
584,Q51581,Howard Hawks
585,Q539685,Michael Anderson
586,Q547495,John Farrow
587,Q1348309,John Cromwell
588,Q61859,Henry Koster
589,Q51511,George A. Romero
590,Q434342,Richard Brooks
591,Q369190,Frank Borzage
592,Q3985417,Thaddeus O'Sullivan
593,Q505141,Joshua Logan
594,Q3431200,Richard Schenkman
595,Q1045172,Carroll Ballard
596,Q113957490,Lance Young
597,Q285908,Ringo Lam
598,Q28755,Matthew Broderick
599,Q223117,Stanley Tucci
600,Q528527,Campbell Scott
601,Q328814,John Herzfeld
602,Q974566,John Gray
603,Q3435756,Robert Lieberman
604,Q974641,Norman Tokar
605,Q2409726,Norman Foster
606,Q946315,John Hough
607,Q725060,Robert Stevenson
608,Q3018855,David Swift
609,Q1150882,Duwayne Dunham
610,Q769200,Charles Barton
611,Q470818,Ken Annakin
612,Q262735,Richard Fleischer
613,Q3568548,William Dear
614,Q579241,Clyde Geronimi
615,Q3127658,Harold Young
616,Q3471034,Samuel Armstrong
617,Q448957,Don Bluth
618,Q675977,Don Chaffey
619,Q2864567,Art Stevens
620,Q3517016,Ted Berman
621,Q3299677,Matthew Bright
622,Q59821,Robert Wise
623,Q515274,Christopher Hampton
624,Q2263,Tom Hanks
625,Q6833620,Michael Pressman
626,Q5748037,Hettie MacDonald
627,Q41163,Al Pacino
628,Q104061,Steve Buscemi
629,Q522382,John McNaughton
630,Q380237,Michael Winterbottom
631,Q250545,Baz Luhrmann
632,Q349339,Doug Liman
633,Q2850240,Tad Stones
634,Q72229,Edward Dmytryk
635,Q1380505,Mel Stuart
636,Q17887,Jack Clayton
637,Q25014,John Cleese
638,Q727753,Charles Crichton
639,Q166159,Terry Jones
640,Q41136,Arthur Penn
641,Q361670,John Sturges
642,Q490198,Emile Ardolino
643,Q725520,Ted Kotcheff
644,Q51519,Alan J. Pakula
645,Q920059,Edwin L. Marin
646,Q240677,Nicholas Ray
647,Q36612462,Greg Spence
648,Q2977901,Claude Nuridsany
649,Q3292745,Marie Pérennou
650,Q1113146,Alan Taylor
651,Q818119,Benoît Jacquot
652,Q1611435,Jaco Van Dormael
653,Q36845664,Peter Cohn
654,Q51525,Miloš Forman
655,Q976467,Rich Wilkes
656,Q3560361,R. J. Cutler
657,Q953627,Mark Rydell
658,Q279894,Ate de Jong
659,Q455279,Joe Dante
660,Q427308,Howard Zieff
661,Q958916,Bruce LaBruce
662,Q7331286,Rick Castro
663,Q1929019,Michael Ray Rhodes
664,Q22114553,Susan Warms Dryfoos
665,Q1818885,Leon Gast
666,Q3014785,Daniel Vigne
667,Q316165,Jan Švankmajer
668,Q53004,Vittorio De Sica
669,Q57316,Volker Schlöndorff
670,Q3295769,Martine Dugowson
671,Q374223,Phillip Rhee
672,Q53045,Giuseppe Tornatore
673,Q55282,Peter Greenaway
674,Q1333379,Peter Chelsom
675,Q55465,Gabriele Salvatores
676,Q977546,Errol Morris
677,Q6178010,Jennie Livingston
678,Q369174,Tommy Chong
679,Q568770,Lou Adler
680,Q119348,Irvin Kershner
681,Q164562,Sergio Leone
682,Q991798,Bruce Robinson
683,Q51559,Sidney Lumet
684,Q55260,David Lean
685,Q467785,Robert Mulligan
686,Q471402,Richard Marquand
687,Q55411,Wim Wenders
688,Q95143,Carol Reed
689,Q8006,Akira Kurosawa
690,Q51114,John Ford
691,Q853,Andrei Tarkovsky
692,Q51570,George Roy Hill
693,Q358370,Hal Ashby
694,Q7546,Ingmar Bergman
695,Q294773,Tom Stoppard
696,Q3474451,Savage Steve Holland
697,Q19504,Fritz Lang
698,Q59129,Michael Cimino
699,Q505626,Jean-Jacques Beineix
700,Q2837752,Allan Moyle
701,Q51503,Franklin J. Schaffner
702,Q378710,Katsuhiro Otomo
703,Q966078,Stuart Rosenberg
704,Q882,Charlie Chaplin
705,Q715807,James Algar
706,Q3077064,Ford Beebe
707,Q28109058,Ford Beebe Jr.
708,Q28109065,Jim Handley
709,Q28439679,Paul Satterfield
710,Q55420,Fred Zinnemann
711,Q336024,Jeannot Szwarc
712,Q1348531,Godfrey Reggio
713,Q1452440,Fred M. Wilcox
714,Q1387617,Phil Alden Robinson
715,Q5300830,Doug Pray
716,Q36844215,Susan Streitfeld
717,Q36482819,Carl Prechezer
718,Q1305150,Tony Randel
719,Q7614290,Steve White
720,Q36612791,John Murlowski
721,Q55444,Damiano Damiani
722,Q105978710,Tom Berry
723,Q383764,Paul Morrissey
724,Q603216,Antonio Margheriti
725,Q5496503,Fred Walton
726,Q2257282,Irvin Yeaworth
727,Q6175862,Jeffrey Bloom
728,Q369201,Eric Red
729,Q381831,James Whale
730,Q692808,Dan Curtis
731,Q456979,J. Lee Thompson
732,Q363989,Paul Schrader
733,Q55412,F. W. Murnau
734,Q55419,Klaus Kinski
735,Q330825,Mario Caiano
736,Q586472,Augusto Caminito
737,Q869060,Maurizio Lucidi
738,Q1150524,Luigi Cozzi
739,Q95039,Bob Rafelson
740,Q25144,Kevin Spacey
741,Q4636,Barbra Streisand
742,Q133730,Lars von Trier
743,Q1387470,Ole Bornedal
744,Q346595,Jonathan Frakes
745,Q951522,Scott Hicks
746,Q202735,Billy Bob Thornton
747,Q3645498,Bruce Sinofsky
748,Q5637614,Joe Berlinger
749,Q106709,Patrice Leconte
750,Q8312,Nicholas Meyer
751,Q16297,William Shatner
752,Q16345,Leonard Nimoy
753,Q7145466,Patricia Birch
754,Q1691324,Joe Alves
755,Q313566,Alexander Payne
756,Q318287,Cameron Crowe
757,Q190998,Anjelica Huston
758,Q3177517,Jerry Zaks
759,Q434585,Mike Judge
760,Q55375,Claude Chabrol
761,Q1392079,Terry George
762,Q5213738,Dan Ireland
763,Q356303,Albert Brooks
764,Q51541,Nicolas Roeg
765,Q3436568,Robert Young
766,Q2156687,Robert Butler
767,Q2397306,Michael Rymer
768,Q730169,Roger Christian
769,Q3524978,Thomas Carter
770,Q503767,Andrew Birkin
771,Q1893915,Peter Baldwin
772,Q5322060,Eric Max Frye
773,Q504463,Jan Svěrák
774,Q31293,Vondie Curtis-Hall
775,Q336074,Christopher Guest
776,Q1643893,Paul Miller
777,Q2907839,Bob Spiers
778,Q22110476,Stephen Kessler
779,Q2071,David Lynch
780,Q113514847,Theodore Witcher
781,Q1356738,Greg Mottola
782,Q1555425,Mark Dindal
783,Q2159005,Robert Townsend
784,Q5372704,Emma-Kate Croghan
785,Q2056096,Shuki Levy
786,Q3019007,David Winning
787,Q317814,Tsui Hark
788,Q12059610,George Armitage
789,Q6709426,Lynne Stopkewich
790,Q942506,Tom Schulman
791,Q2665938,David Mirkin
792,Q16195520,Peter Duncan
793,Q524278,Jay Roach
794,Q707494,Jonathan Mostow
795,Q112473858,Gregor Nicholas
796,Q3361624,Luc Dardenne
797,Q13455488,Jean-Pierre Dardenne
798,Q1073993,Masayuki Suo
799,Q470260,Griffin Dunne
800,Q1900142,Mark Herman
801,Q710650,Jacques Doillon
802,Q3012316,Chip Rosenbloom
803,Q2975534,Clare Peploe
804,Q442740,Simon West
805,Q3808389,Jim Wilson
806,Q513632,Cédric Klapisch
807,Q7498695,Shirley Barrett
808,Q83859,John Milius
809,Q3470574,Sam Weisman
810,Q363754,Mark A.Z. Dippé
811,Q730100,Charles Martin Smith
812,Q965498,Neil LaBute
813,Q2572548,Kenneth Johnson
814,Q431191,Nick Cassavetes
815,Q722312,Bill Duke
816,Q2849078,Andy Cadiff
817,Q219124,Guillermo del Toro
818,Q319204,Brett Ratner
819,Q6250473,John Nicolella
820,Q3993317,Tony Vitale
821,Q3312946,Miguel Arteta
822,Q268881,Mimi Leder
823,Q154490,Jean-Jacques Annaud
824,Q429544,"George Tillman, Jr."
825,Q1423966,Robert Kurtzman
826,Q462727,Félix Enríquez Alcalá
827,Q6768251,Mark Joffe
828,Q1241761,Peter Cattaneo
829,Q6962844,Nancy Meckler
830,Q51516,John Madden
831,Q368082,Jim Gillespie
832,Q278713,Stuart Gillard
833,Q4761501,Andy Wilson
834,Q471552,Mark Waters
835,Q360737,Andrew Niccol
836,Q1066169,Charles Sturridge
837,Q1947643,Morgan J. Freeman
838,Q459933,Kasi Lemmons
839,Q1360963,Jeb Stuart
840,Q3178864,Jim Kouf
841,Q296698,Costa-Gavras
842,Q6272209,Jonas Pate
843,Q6289243,Josh Pate
844,Q25132,Paul Thomas Anderson
845,Q4718041,Alex Zamm
846,Q1373590,Peter Howitt
847,Q361290,John R. Leonetti
848,Q555460,Lee Daniels
849,Q667959,Gary Goldman
850,Q171736,Robert Duvall
851,Q395122,Agnès Merlet
852,Q2262221,Sean Mathias
853,Q545351,Raja Gosnell
854,Q295463,Gore Verbinski
855,Q26707121,Rodney Gibbons
856,Q506352,Roger Spottiswoode
857,Q628951,Alain Berliner
858,Q3476760,Sean McNamara
859,Q487069,Mikael Salomon
860,Q3497894,Stefan Schwartz
861,Q82275,Bruno Barreto
862,Q77186754,Charlie Peters
863,Q465139,Antoine Fuqua
864,Q27629545,Mark Pavia
865,Q547811,Frank Coraci
866,Q2150022,Richard Kwietniowski
867,Q376836,David F. Breashears
868,Q3615357,Greg MacGillivray
869,Q22111405,Jonathan Darby
870,Q7176168,Peter O'Fallon
871,Q1339625,Randall Wallace
872,Q113986806,John Roberts
873,Q26372,Takeshi Kitano
874,Q51489,M. Night Shyamalan
875,Q1387412,James Toback
876,Q173637,Ice Cube
877,Q269927,David Mamet
878,Q1678831,Jake Kasdan
